VentaID,Fecha,ClienteID,Segmento,Producto,Categoria,Region,Canal,Cantidad,PrecioUnitario,Descuento,VentaNeta,Margen,MedioPago
V00001,2024-03-03,C0349,Hogar,Martillo profesional,Herramientas,Arequipa,App,6,65,0.03,378.3,116.85,Efectivo
V00002,2024-12-31,C0186,Empresa,Brocha 3 pulgadas,Pinturas,Piura,App,6,18,0.0,108.0,23.66,Transferencia
V00003,2025-10-11,C0032,Profesional,Foco LED,Electricidad,Junín,App,4,15,0.0,60.0,14.52,Transferencia
V00004,2025-05-10,C0390,Hogar,Brocha 3 pulgadas,Pinturas,Cusco,Tienda,3,18,0.1,48.6,15.38,Plin
V00005,2024-09-25,C0484,Hogar,Foco LED,Electricidad,La Libertad,Web,2,15,0.05,28.5,8.09,Yape
V00006,2024-08-29,C0114,Profesional,Alicate,Herramientas,La Libertad,App,2,38,0.0,76.0,17.07,Plin
V00007,2024-11-14,C0403,Hogar,Cable eléctrico 10m,Electricidad,La Libertad,App,5,42,0.03,203.7,61.74,Yape
V00008,2025-08-05,C0394,Profesional,Cable eléctrico 10m,Electricidad,Cusco,App,1,42,0.0,42.0,5.11,Transferencia
V00009,2024-06-28,C0058,Profesional,Foco LED,Electricidad,Arequipa,Web,4,15,0.05,57.0,8.59,Plin
V00010,2024-03-07,C0280,Hogar,Taladro inalámbrico,Herramientas,Arequipa,Web,6,260,0.05,1482.0,358.33,Tarjeta
V00011,2024-01-26,C0117,Hogar,Casco de seguridad,Seguridad,La Libertad,Tienda,2,35,0.03,67.9,20.9,Yape
V00012,2025-12-29,C0333,Hogar,Llave de paso,Plomería,Cusco,Tienda,5,28,0.05,133.0,38.9,Efectivo
V00013,2025-05-24,C0231,Hogar,Tubo PVC 1/2,Plomería,La Libertad,Tienda,1,8,0.0,8.0,2.23,Plin
V00014,2024-06-23,C0151,Profesional,Llave de paso,Plomería,Arequipa,Tienda,5,28,0.03,135.8,27.68,Yape
V00015,2024-12-27,C0350,Hogar,Tubo PVC 1/2,Plomería,Piura,App,1,8,0.1,7.2,2.3,Efectivo
V00016,2024-02-27,C0049,Empresa,Cemento 42.5kg,Construcción,Lima,Tienda,6,32,0.03,186.24,33.5,Plin
V00017,2024-12-04,C0429,Profesional,Brocha 3 pulgadas,Pinturas,Cusco,Web,3,18,0.05,51.3,8.15,Transferencia
V00018,2025-04-04,C0043,Hogar,Cemento 42.5kg,Construcción,Piura,Web,5,32,0.05,152.0,39.97,Tarjeta
V00019,2024-05-08,C0294,Hogar,Pintura látex 4L,Pinturas,Junín,Web,3,95,0.0,285.0,40.68,Efectivo
V00020,2024-04-20,C0480,Profesional,Llave de paso,Plomería,Cusco,Tienda,3,28,0.05,79.8,9.98,Transferencia
V00021,2024-04-27,C0286,Profesional,Cemento 42.5kg,Construcción,Piura,Tienda,4,32,0.05,121.6,39.68,Yape
V00022,2024-09-22,C0414,Empresa,Foco LED,Electricidad,Arequipa,Web,4,15,0.03,58.2,7.26,Tarjeta
V00023,2024-06-27,C0330,Profesional,Cemento 42.5kg,Construcción,La Libertad,Tienda,1,32,0.05,30.4,5.53,Transferencia
V00024,2024-04-13,C0278,Hogar,Cable eléctrico 10m,Electricidad,Junín,App,7,42,0.0,294.0,37.7,Efectivo
